name,address1,address2,city,state,zip,phone,type,url
"Brewery In Planning - Taiwan","11F, No.237, Sec. 1, Datong Rd, Xizhi","New Taipei City, Taiwan, Province of China",,,,886226477899,,
"Cloud Top Liquor Co. Ltd","No.162-1 Dakeng","Gongguan Township, Taiwan, Province of China",,,,,,
"Gordon Biersch Brewery Restaurant - Taipei","No.95-12, Baozhong Rd Xindian City","Taipei County 231, Taiwan, Province of China",,,,+886-2-29127588,,http://www.craftworksrestaurants.com
"Hengchun 3000 Brewseum (Takau Brewing Co. Ltd)","No. 29-1 Caopu Rd.","Hengchun Township, Taiwan, Province of China",,,,,,
"Taihu Brewing","1F., No.201, Nanyang St., Xizhi Dist.,","New Taipei City, Taiwan, Province of China",,,,+886226921072,,http://www.taihubrewing.com
"Taiwan Micro Brewing Co.","#22 Jin Lu St","Kaohsiving, Taiwan, Province of China",,,,+886-7-871-8776,,http://www.tmbc.com.tw
"TaKao Brewing Company","#199 Pingse Rd","Kao Ssiung, Taiwan, Province of China",,,,,,
"Zhang Men Brewing Company","11F., No.237, Sec. 1, Datong Rd., Xizhi","New Taipei City, Taiwan, Province of China",,,,886226477899,,http://www.zhangmenbrewing.com
